arrival_date_month,arrival_date_year,profit
August,2018,1405796.27
December,2018,459008.26
July,2018,926487.08
November,2018,329364.89
October,2018,694217.610000001
September,2018,1070569.95
April,2019,1125080.74
August,2019,3270439.21000001
December,2019,1054454.38
February,2019,600806.830000001
January,2019,340305.69
July,2019,2681613.68
June,2019,1409564.05
March,2019,972967.290000003
May,2019,1248959.29
November,2019,943478.569999997
October,2019,1453356.64
September,2019,1809812.53
April,2020,1662076.31
August,2020,3131402.33
February,2020,872758.369999999
January,2020,739363.829999999
July,2020,2842012.43
June,2020,2086781
March,2020,1075718.03999999
May,2020,1874098.93
