hotel,meal,total_night_booked,market_segment,revenue
Resort Hotel,BB,7,Online TA,1470578
City Hotel,BB,3,Online TA,1107999
City Hotel,BB,4,Online TA,1013428
City Hotel,BB,4,Online TA,898360
City Hotel,BB,7,Online TA,875916
City Hotel,BB,5,Online TA,857039
City Hotel,BB,3,Online TA,837158
City Hotel,BB,2,Online TA,720220
Resort Hotel,HB,7,Online TA,718507
City Hotel,BB,4,Online TA,680368
Resort Hotel,BB,7,Offline TA/TO,639172
City Hotel,BB,3,Online TA,609620
Resort Hotel,HB,7,Offline TA/TO,605829
City Hotel,BB,6,Online TA,468077
City Hotel,BB,5,Online TA,416884
Resort Hotel,BB,5,Online TA,406500
Resort Hotel,BB,7,Direct,404406
Resort Hotel,BB,6,Online TA,372822
City Hotel,BB,1,Online TA,367758
Resort Hotel,BB,14,Offline TA/TO,359679
City Hotel,BB,2,Online TA,346611
Resort Hotel,BB,4,Online TA,335306
Resort Hotel,BB,2,Online TA,326853
Resort Hotel,BB,4,Online TA,324245
Resort Hotel,BB,3,Online TA,296216
Resort Hotel,BB,5,Online TA,273515
City Hotel,SC,3,Online TA,254590
Resort Hotel,BB,3,Online TA,253282
Resort Hotel,HB,7,Direct,246435
City Hotel,SC,2,Online TA,243904
Resort Hotel,BB,4,Online TA,240610
Resort Hotel,BB,14,Online TA,235153
Resort Hotel,BB,8,Online TA,233862
Resort Hotel,HB,14,Offline TA/TO,232878
City Hotel,SC,3,Online TA,225707
City Hotel,BB,6,Online TA,223850
City Hotel,SC,4,Online TA,221352
City Hotel,BB,3,Offline TA/TO,215812
Resort Hotel,HB,6,Online TA,214189
Resort Hotel,BB,6,Online TA,212834
City Hotel,SC,4,Online TA,199845
City Hotel,BB,3,Offline TA/TO,188739
Resort Hotel,BB,3,Online TA,179996
Resort Hotel,BB,1,Online TA,178940
Resort Hotel,BB,9,Online TA,170461
City Hotel,BB,4,Offline TA/TO,164552
City Hotel,BB,3,Direct,163056
City Hotel,SC,3,Online TA,158446
City Hotel,SC,1,Online TA,153847
City Hotel,SC,4,Online TA,152241
City Hotel,BB,5,Offline TA/TO,150598
City Hotel,SC,7,Online TA,149709
Resort Hotel,HB,5,Online TA,149609
City Hotel,BB,2,Direct,147680
City Hotel,BB,1,Direct,144185
City Hotel,SC,5,Online TA,140194
Resort Hotel,BB,2,Online TA,140008
City Hotel,BB,3,Offline TA/TO,135259
City Hotel,BB,4,Offline TA/TO,134275
Resort Hotel,BB,1,Direct,133581
City Hotel,BB,7,Direct,133141
City Hotel,BB,7,Offline TA/TO,131482
City Hotel,BB,8,Online TA,128994
City Hotel,BB,4,Direct,126997
City Hotel,BB,5,Online TA,125424
City Hotel,HB,7,Online TA,123696
City Hotel,BB,2,Online TA,123341
City Hotel,BB,4,Direct,119733
Resort Hotel,BB,5,Direct,117040
City Hotel,BB,2,Offline TA/TO,116128
Resort Hotel,HB,6,Online TA,115036
Resort Hotel,BB,6,Direct,112331
Resort Hotel,HB,5,Online TA,111483
Resort Hotel,BB,2,Direct,111280
City Hotel,SC,2,Online TA,111046
City Hotel,BB,5,Direct,110081
Resort Hotel,BB,3,Direct,107063
City Hotel,BB,1,Online TA,106921
Resort Hotel,BB,10,Online TA,105337
City Hotel,BB,3,Direct,103352
Resort Hotel,HB,8,Online TA,102753
Resort Hotel,HB,7,Groups,101938
Resort Hotel,HB,4,Online TA,101102
Resort Hotel,BB,9,Online TA,98371
City Hotel,BB,3,Direct,94814
Resort Hotel,BB,5,Online TA,94548
Resort Hotel,BB,10,Online TA,93717
City Hotel,HB,5,Online TA,92008
City Hotel,BB,4,Direct,90731
City Hotel,BB,14,Online TA,90599
City Hotel,BB,4,Offline TA/TO,88971
City Hotel,SC,6,Online TA,86210
Resort Hotel,BB,4,Offline TA/TO,84852
Resort Hotel,HB,6,Direct,83069
City Hotel,BB,2,Groups,82419
Resort Hotel,FB,7,Offline TA/TO,82042
City Hotel,SC,5,Online TA,81411
Resort Hotel,BB,10,Online TA,81362
Resort Hotel,HB,14,Online TA,81353
Resort Hotel,BB,14,Direct,80606
Resort Hotel,BB,10,Offline TA/TO,79986
Resort Hotel,HB,4,Online TA,78478
Resort Hotel,BB,4,Direct,77372
City Hotel,BB,6,Direct,76627
City Hotel,BB,9,Online TA,75490
Resort Hotel,HB,3,Online TA,74996
Resort Hotel,BB,7,Groups,74606
Resort Hotel,HB,10,Offline TA/TO,74196
City Hotel,BB,1,Corporate,73277
Resort Hotel,HB,3,Online TA,73060
City Hotel,BB,2,Direct,72331
Resort Hotel,BB,5,Direct,72301
Resort Hotel,BB,3,Direct,72292
City Hotel,HB,4,Online TA,71189
Resort Hotel,BB,10,Offline TA/TO,70968
City Hotel,BB,2,Corporate,69032
Resort Hotel,BB,4,Direct,68114
City Hotel,BB,4,Groups,67903
City Hotel,BB,3,Groups,67708
Resort Hotel,HB,4,Online TA,67323
Resort Hotel,BB,8,Online TA,66994
Resort Hotel,HB,2,Online TA,63294
City Hotel,BB,3,Groups,62055
City Hotel,HB,3,Online TA,61668
Resort Hotel,BB,10,Offline TA/TO,60764
City Hotel,BB,10,Online TA,60569
City Hotel,BB,5,Direct,60331
City Hotel,BB,6,Offline TA/TO,60266
Resort Hotel,HB,8,Direct,58167
City Hotel,BB,2,Groups,58125
City Hotel,BB,5,Offline TA/TO,58106
City Hotel,HB,4,Online TA,58048
City Hotel,HB,3,Online TA,57589
Resort Hotel,BB,2,Online TA,57260
Resort Hotel,HB,5,Direct,56487
Resort Hotel,HB,10,Online TA,55379
City Hotel,SC,1,Online TA,55337
City Hotel,BB,1,Offline TA/TO,55159
Resort Hotel,BB,1,Online TA,55034
Resort Hotel,Undefined,7,Offline TA/TO,54029
Resort Hotel,FB,7,Direct,53918
Resort Hotel,HB,5,Direct,53830
Resort Hotel,BB,5,Offline TA/TO,53396
City Hotel,SC,2,Online TA,53063
City Hotel,BB,3,Groups,52613
Resort Hotel,BB,8,Direct,51983
Resort Hotel,BB,11,Online TA,51579
Resort Hotel,BB,6,Offline TA/TO,51059
Resort Hotel,BB,2,Direct,50213
Resort Hotel,BB,13,Online TA,49806
City Hotel,HB,2,Offline TA/TO,49438
City Hotel,BB,8,Online TA,49343
Resort Hotel,BB,4,Direct,49218
Resort Hotel,BB,12,Online TA,49206
Resort Hotel,BB,1,Corporate,48709
Resort Hotel,BB,6,Direct,48186
City Hotel,HB,6,Online TA,47530
Resort Hotel,HB,10,Online TA,46654
City Hotel,BB,2,Offline TA/TO,46536
Resort Hotel,HB,10,Offline TA/TO,46351
Resort Hotel,HB,9,Online TA,45001
City Hotel,BB,5,Groups,44666
Resort Hotel,BB,4,Offline TA/TO,43271
City Hotel,HB,5,Online TA,42675
City Hotel,BB,10,Online TA,42532
Resort Hotel,HB,10,Offline TA/TO,42261
City Hotel,BB,1,Direct,42251
Resort Hotel,BB,8,Offline TA/TO,41772
Resort Hotel,BB,1,Direct,41531
Resort Hotel,HB,9,Online TA,41070
City Hotel,HB,4,Online TA,40678
City Hotel,HB,3,Online TA,40657
City Hotel,HB,2,Online TA,39469
Resort Hotel,HB,8,Offline TA/TO,38977
Resort Hotel,BB,4,Groups,38913
City Hotel,HB,3,Offline TA/TO,38207
Resort Hotel,BB,9,Direct,37506
Resort Hotel,BB,3,Direct,35875
Resort Hotel,HB,6,Offline TA/TO,35817
City Hotel,BB,4,Groups,35802
Resort Hotel,BB,11,Online TA,35704
Resort Hotel,HB,5,Online TA,35529
Resort Hotel,HB,6,Direct,35494
Resort Hotel,HB,3,Online TA,35424
City Hotel,SC,8,Online TA,35198
City Hotel,BB,10,Online TA,34893
City Hotel,BB,9,Online TA,34243
Resort Hotel,HB,10,Direct,33956
City Hotel,BB,3,Corporate,33737
Resort Hotel,HB,10,Online TA,33733
Resort Hotel,HB,8,Online TA,33605
Resort Hotel,HB,11,Offline TA/TO,33594
Resort Hotel,BB,9,Offline TA/TO,33390
Resort Hotel,BB,11,Offline TA/TO,32786
Resort Hotel,BB,3,Groups,32774
Resort Hotel,HB,5,Offline TA/TO,32164
City Hotel,BB,6,Offline TA/TO,31449
City Hotel,BB,3,Corporate,31323
City Hotel,BB,12,Online TA,31237
Resort Hotel,HB,2,Online TA,31013
Resort Hotel,HB,9,Offline TA/TO,30915
City Hotel,HB,7,Offline TA/TO,30890
Resort Hotel,BB,5,Direct,30687
Resort Hotel,HB,10,Direct,30561
Resort Hotel,BB,11,Online TA,30390
Resort Hotel,HB,4,Direct,30252
Resort Hotel,HB,4,Direct,30115
Resort Hotel,BB,1,Offline TA/TO,30027
City Hotel,BB,14,Direct,29800
City Hotel,SC,6,Online TA,29373
Resort Hotel,BB,10,Direct,29128
Resort Hotel,HB,14,Direct,28870
City Hotel,HB,3,Offline TA/TO,28552
Resort Hotel,BB,5,Offline TA/TO,28422
Resort Hotel,BB,3,Offline TA/TO,28346
Resort Hotel,HB,9,Direct,28095
Resort Hotel,BB,5,Groups,28083
Resort Hotel,HB,10,Direct,28080
Resort Hotel,BB,2,Corporate,28034
City Hotel,HB,5,Offline TA/TO,27875
Resort Hotel,BB,9,Online TA,27455
Resort Hotel,Undefined,7,Direct,27054
City Hotel,BB,6,Direct,26973
Resort Hotel,BB,4,Offline TA/TO,26912
Resort Hotel,BB,8,Direct,26626
City Hotel,SC,5,Online TA,25872
City Hotel,BB,11,Online TA,25632
City Hotel,HB,6,Online TA,25362
City Hotel,BB,2,Corporate,25265
Resort Hotel,BB,9,Direct,25237
Resort Hotel,HB,5,Direct,24923
Resort Hotel,BB,3,Offline TA/TO,23802
Resort Hotel,BB,10,Direct,23622
City Hotel,BB,5,Offline TA/TO,23177
Resort Hotel,BB,10,Direct,23033
City Hotel,BB,1,Groups,22991
Resort Hotel,BB,11,Offline TA/TO,22895
Resort Hotel,HB,21,Offline TA/TO,22845
City Hotel,BB,4,Corporate,22553
City Hotel,BB,8,Direct,21663
Resort Hotel,BB,28,Online TA,21655
Resort Hotel,HB,4,Direct,21404
City Hotel,BB,4,Groups,21381
City Hotel,HB,7,Direct,21361
City Hotel,BB,15,Online TA,21126
Resort Hotel,HB,5,Offline TA/TO,21124
Resort Hotel,FB,7,Online TA,21014
Resort Hotel,BB,12,Online TA,20808
City Hotel,HB,3,Offline TA/TO,20729
Resort Hotel,BB,2,Offline TA/TO,20618
Resort Hotel,BB,12,Offline TA/TO,20566
Resort Hotel,BB,6,Offline TA/TO,20534
City Hotel,BB,2,Direct,20450
