arrival_date_year,country,revenue
2018,AGO,20772.54
2018,ALB,559.78
2018,ARG,5262.23
2018,ARM,345.8
2018,AUS,7366.58
2018,AUT,28596.89
2018,AZE,555
2018,BEL,68764.45
2018,BGR,771
2018,BLR,2198.5
2018,BRA,46777.87
2018,BWA,355.5
2018,CHE,59699.27
2018,CHL,1517.69
2018,CHN,9820.34
2018,CMR,1339.07
2018,CN,29792.78
2018,COL,1152
2018,CPV,1346
2018,CRI,1579.16
2018,CYM,162
2018,CZE,7694.77
2018,DEU,119217.5
2018,DNK,9886.96
2018,DOM,180
2018,DZA,5065
2018,ECU,421.2
2018,EGY,1840
2018,ESP,467999.29
2018,EST,1758.9
2018,ETH,550.08
2018,FIN,16393.81
2018,FRA,303481.6
2018,GBR,523545.42
2018,GEO,210
2018,GIB,171
2018,GRC,9659.13
2018,HRV,3487.12
2018,HUN,6089.88
2018,IDN,1934
2018,IND,3792.48
2018,IRL,210024.47
2018,IRN,4465.1
2018,IRQ,1367.5
2018,ISR,14473.37
2018,ITA,108591.3
2018,JOR,1160
2018,JPN,10085.5
2018,KAZ,1711.2
2018,KNA,140
2018,KOR,2663.2
2018,KWT,300
2018,LBN,1498.91
2018,LIE,182.4
2018,LKA,474.9
2018,LTU,5833.65
2018,LUX,10895.64
2018,LVA,5444.51
2018,MAR,8865.24
2018,MEX,5300.8
2018,MKD,870
2018,MMR,290
2018,MOZ,3489.04
2018,MUS,162
2018,MYS,1280.86
2018,NGA,673
2018,NLD,73778.75
2018,NOR,17112.36
2018,NULL,35199.74
2018,NZL,2985.86
2018,OMN,2738.96
2018,PAN,596.7
2018,PER,420
2018,PHL,278
2018,POL,33273
2018,PRI,208.92
2018,PRT,2382909.89
2018,ROU,26378.1
2018,RUS,29381.47
2018,SAU,851
2018,SEN,180
2018,SGP,803.16
2018,SMR,264.6
2018,SRB,2733.55
2018,STP,124
2018,SVK,1864.9
2018,SVN,4427.43
2018,SWE,28384.65
2018,THA,1070.2
2018,TMP,391.2
2018,TUN,1735
2018,TUR,5065.34
2018,TWN,722.4
2018,UKR,3247
2018,USA,52460.08
2018,VEN,1977.98
2018,ZAF,892.42
2018,ZMB,580.02
2018,ZWE,52.2
2019,ABW,630.72
2019,AGO,186818.81
2019,AIA,1060
2019,ALB,1971.45
2019,AND,2118
2019,ARE,16436.57
2019,ARG,33033.41
2019,ARM,1405.6
2019,ATA,351
2019,AUS,51305.08
2019,AUT,169730.72
2019,AZE,2771.91
2019,BDI,92
2019,BEL,372577.389999999
2019,BEN,374.4
2019,BFA,80.3
2019,BGD,3126.94
2019,BGR,12776.35
2019,BHR,403.75
2019,BIH,3092.65
2019,BLR,3249.28
2019,BOL,750
2019,BRA,348953.14
2019,BRB,380
2019,BWA,355.5
2019,CAF,503.3
2019,CHE,310453.13
2019,CHL,15497.93
2019,CHN,127668.28
2019,CIV,506
2019,CMR,1648.09
2019,CN,167636.87
2019,COL,8428.5
2019,COM,71.61
2019,CPV,8450.79
2019,CRI,1328.58
2019,CUB,437.5
2019,CYP,3470.5
2019,CZE,23449.51
2019,DEU,998583.490000001
2019,DMA,421.2
2019,DNK,75322.8
2019,DOM,557.01
2019,DZA,22873.4
2019,ECU,3701.2
2019,EGY,9648.36
2019,ESP,1468409.86
2019,EST,24843.69
2019,FIN,86962.53
2019,FRA,1726188.68
2019,GAB,615
2019,GBR,2123332.39
2019,GEO,6196.42
2019,GGY,418.7
2019,GHA,1357.2
2019,GIB,4370.72
2019,GLP,420
2019,GNB,4652.89
2019,GRC,21843.73
2019,GUY,360
